"기준일","요일","시군구","연령대","성별","통화건수"
20170202,"목","강동구","60대이상","여",29
20170202,"목","강북구","10대","남",35
20170202,"목","강북구","10대","여",24
20170202,"목","강북구","20대","남",68
20170202,"목","강북구","20대","여",42
20170202,"목","강북구","30대","남",68
20170202,"목","강북구","30대","여",74
20170202,"목","강북구","40대","남",47
20170202,"목","강북구","40대","여",90
20170202,"목","강북구","50대","남",17
20170202,"목","강북구","50대","여",35
20170202,"목","강북구","60대이상","남",13
20170202,"목","강북구","60대이상","여",9
20170202,"목","강서구","10대","남",91
20170202,"목","강서구","10대","여",46
20170202,"목","강서구","20대","남",133
20170202,"목","강서구","20대","여",114
20170202,"목","강서구","30대","남",161
20170202,"목","강서구","30대","여",210
20170202,"목","강서구","40대","남",129
20170202,"목","강서구","40대","여",239
20170202,"목","강서구","50대","남",48
20170202,"목","강서구","50대","여",84
20170202,"목","강서구","60대이상","남",33
20170202,"목","강서구","60대이상","여",37
20170202,"목","관악구","10대","남",35
20170202,"목","관악구","10대","여",25
20170202,"목","관악구","20대","남",152
20170202,"목","관악구","20대","여",102
20170202,"목","관악구","30대","남",109
20170202,"목","관악구","30대","여",108
20170202,"목","관악구","40대","남",74
20170202,"목","관악구","40대","여",128
20170202,"목","관악구","50대","남",30
20170202,"목","관악구","50대","여",41
20170202,"목","관악구","60대이상","남",11
20170202,"목","관악구","60대이상","여",13
20170202,"목","광진구","10대","남",20
20170202,"목","광진구","10대","여",9
20170202,"목","광진구","20대","남",38
20170202,"목","광진구","20대","여",36
20170202,"목","광진구","30대","남",42
20170202,"목","광진구","30대","여",43
20170202,"목","광진구","40대","남",16
20170202,"목","광진구","40대","여",31
20170202,"목","광진구","50대","남",11
20170202,"목","광진구","50대","여",25
20170202,"목","광진구","60대이상","남",4
20170202,"목","광진구","60대이상","여",10
20170202,"목","구로구","10대","남",40
20170202,"목","구로구","10대","여",27
20170202,"목","구로구","20대","남",47
20170202,"목","구로구","20대","여",50
20170202,"목","구로구","30대","남",50
20170202,"목","구로구","30대","여",75
20170202,"목","구로구","40대","남",47
20170202,"목","구로구","40대","여",92
20170202,"목","구로구","50대","남",25
20170202,"목","구로구","50대","여",30
20170202,"목","구로구","60대이상","남",19
20170202,"목","구로구","60대이상","여",28
20170202,"목","금천구","10대","남",19
20170202,"목","금천구","10대","여",15
20170202,"목","금천구","20대","남",55
20170202,"목","금천구","20대","여",34
20170202,"목","금천구","30대","남",40
20170202,"목","금천구","30대","여",33
20170202,"목","금천구","40대","남",24
20170202,"목","금천구","40대","여",49
20170202,"목","금천구","50대","남",16
20170202,"목","금천구","50대","여",17
20170202,"목","금천구","60대이상","남",16
20170202,"목","금천구","60대이상","여",15
20170202,"목","노원구","10대","남",43
20170202,"목","노원구","10대","여",30
20170202,"목","노원구","20대","남",80
20170202,"목","노원구","20대","여",64
20170202,"목","노원구","30대","남",77
20170202,"목","노원구","30대","여",90
20170202,"목","노원구","40대","남",70
20170202,"목","노원구","40대","여",157
20170202,"목","노원구","50대","남",39
20170202,"목","노원구","50대","여",61
20170202,"목","노원구","60대이상","남",11
20170202,"목","노원구","60대이상","여",22
20170202,"목","도봉구","10대","남",14
20170202,"목","도봉구","10대","여",14
20170202,"목","도봉구","20대","남",30
20170202,"목","도봉구","20대","여",35
20170202,"목","도봉구","30대","남",32
20170202,"목","도봉구","30대","여",39
20170202,"목","도봉구","40대","남",23
20170202,"목","도봉구","40대","여",38
20170202,"목","도봉구","50대","남",21
20170202,"목","도봉구","50대","여",22
20170202,"목","도봉구","60대이상","남",11
20170202,"목","도봉구","60대이상","여",20
20170202,"목","동대문구","10대","남",34
20170202,"목","동대문구","10대","여",16
20170202,"목","동대문구","20대","남",40
20170202,"목","동대문구","20대","여",28
20170202,"목","동대문구","30대","남",58
20170202,"목","동대문구","30대","여",48
20170202,"목","동대문구","40대","남",32
20170202,"목","동대문구","40대","여",58
20170202,"목","동대문구","50대","남",16
20170202,"목","동대문구","50대","여",23
20170202,"목","동대문구","60대이상","남",11
20170202,"목","동대문구","60대이상","여",13
20170202,"목","동작구","10대","남",36
20170202,"목","동작구","10대","여",27
20170202,"목","동작구","20대","남",41
20170202,"목","동작구","20대","여",42
20170202,"목","동작구","30대","남",42
20170202,"목","동작구","30대","여",46
20170202,"목","동작구","40대","남",35
20170202,"목","동작구","40대","여",38
20170202,"목","동작구","50대","남",19
20170202,"목","동작구","50대","여",37
20170202,"목","동작구","60대이상","남",9
20170202,"목","동작구","60대이상","여",16
20170202,"목","마포구","10대","남",33
20170202,"목","마포구","10대","여",26
20170202,"목","마포구","20대","남",73
20170202,"목","마포구","20대","여",58
20170202,"목","마포구","30대","남",75
20170202,"목","마포구","30대","여",73
20170202,"목","마포구","40대","남",48
20170202,"목","마포구","40대","여",86
20170202,"목","마포구","50대","남",44
20170202,"목","마포구","50대","여",40
20170202,"목","마포구","60대이상","남",15
20170202,"목","마포구","60대이상","여",25
20170202,"목","서대문구","10대","남",27
20170202,"목","서대문구","10대","여",34
20170202,"목","서대문구","20대","남",95
20170202,"목","서대문구","20대","여",56
20170202,"목","서대문구","30대","남",78
20170202,"목","서대문구","30대","여",80
20170202,"목","서대문구","40대","남",63
20170202,"목","서대문구","40대","여",103
20170202,"목","서대문구","50대","남",33
20170202,"목","서대문구","50대","여",34
20170202,"목","서대문구","60대이상","남",44
20170202,"목","서대문구","60대이상","여",31
20170202,"목","서초구","10대","남",28
20170202,"목","서초구","10대","여",33
20170202,"목","서초구","20대","남",68
20170202,"목","서초구","20대","여",56
20170202,"목","서초구","30대","남",94
20170202,"목","서초구","30대","여",105
20170202,"목","서초구","40대","남",92
20170202,"목","서초구","40대","여",142
20170202,"목","서초구","50대","남",49
20170202,"목","서초구","50대","여",41
20170202,"목","서초구","60대이상","남",20
20170202,"목","서초구","60대이상","여",19
20170202,"목","성동구","10대","남",20
20170202,"목","성동구","10대","여",12
20170202,"목","성동구","20대","남",59
20170202,"목","성동구","20대","여",52
20170202,"목","성동구","30대","남",64
20170202,"목","성동구","30대","여",81
20170202,"목","성동구","40대","남",45
20170202,"목","성동구","40대","여",74
20170202,"목","성동구","50대","남",22
20170202,"목","성동구","50대","여",31
20170202,"목","성동구","60대이상","남",11
20170202,"목","성동구","60대이상","여",9
20170202,"목","성북구","10대","남",28
20170202,"목","성북구","10대","여",21
20170202,"목","성북구","20대","남",66
20170202,"목","성북구","20대","여",49
20170202,"목","성북구","30대","남",66
20170202,"목","성북구","30대","여",74
20170202,"목","성북구","40대","남",60
20170202,"목","성북구","40대","여",74
20170202,"목","성북구","50대","남",40
20170202,"목","성북구","50대","여",32
20170202,"목","성북구","60대이상","남",20
20170202,"목","성북구","60대이상","여",19
20170202,"목","송파구","10대","남",47
20170202,"목","송파구","10대","여",33
20170202,"목","송파구","20대","남",101
20170202,"목","송파구","20대","여",79
20170202,"목","송파구","30대","남",100
20170202,"목","송파구","30대","여",115
20170202,"목","송파구","40대","남",69
20170202,"목","송파구","40대","여",186
20170202,"목","송파구","50대","남",31
20170202,"목","송파구","50대","여",61
20170202,"목","송파구","60대이상","남",24
20170202,"목","송파구","60대이상","여",8
20170202,"목","양천구","10대","남",29
20170202,"목","양천구","10대","여",18
20170202,"목","양천구","20대","남",36
20170202,"목","양천구","20대","여",29
20170202,"목","양천구","30대","남",30
20170202,"목","양천구","30대","여",38
20170202,"목","양천구","40대","남",19
20170202,"목","양천구","40대","여",61
20170202,"목","양천구","50대","남",12
20170202,"목","양천구","50대","여",19
20170202,"목","양천구","60대이상","남",10
20170202,"목","양천구","60대이상","여",16
20170202,"목","영등포구","10대","남",44
20170202,"목","영등포구","10대","여",24
20170202,"목","영등포구","20대","남",94
20170202,"목","영등포구","20대","여",85
20170202,"목","영등포구","30대","남",118
20170202,"목","영등포구","30대","여",118
20170202,"목","영등포구","40대","남",80
20170202,"목","영등포구","40대","여",126
20170202,"목","영등포구","50대","남",47
20170202,"목","영등포구","50대","여",41
20170202,"목","영등포구","60대이상","남",32
20170202,"목","영등포구","60대이상","여",26
20170202,"목","용산구","10대","남",31
20170202,"목","용산구","10대","여",31
20170202,"목","용산구","20대","남",54
20170202,"목","용산구","20대","여",46
20170202,"목","용산구","30대","남",62
20170202,"목","용산구","30대","여",71
20170202,"목","용산구","40대","남",30
20170202,"목","용산구","40대","여",98
20170202,"목","용산구","50대","남",36
20170202,"목","용산구","50대","여",40
20170202,"목","용산구","60대이상","남",16
20170202,"목","용산구","60대이상","여",15
20170202,"목","은평구","10대","남",53
20170202,"목","은평구","10대","여",28
20170202,"목","은평구","20대","남",66
20170202,"목","은평구","20대","여",54
20170202,"목","은평구","30대","남",62
20170202,"목","은평구","30대","여",111
20170202,"목","은평구","40대","남",83
20170202,"목","은평구","40대","여",110
20170202,"목","은평구","50대","남",27
20170202,"목","은평구","50대","여",45
20170202,"목","은평구","60대이상","남",21
20170202,"목","은평구","60대이상","여",23
20170202,"목","종로구","10대","남",31
20170202,"목","종로구","10대","여",10
20170202,"목","종로구","20대","남",51
20170202,"목","종로구","20대","여",49
20170202,"목","종로구","30대","남",47
20170202,"목","종로구","30대","여",20
20170202,"목","종로구","40대","남",36
20170202,"목","종로구","40대","여",35
20170202,"목","종로구","50대","남",36
20170202,"목","종로구","50대","여",26
20170202,"목","종로구","60대이상","남",19
20170202,"목","종로구","60대이상","여",24
20170202,"목","중구","10대","남",15
20170202,"목","중구","10대","여",16
20170202,"목","중구","20대","남",81
20170202,"목","중구","20대","여",50
20170202,"목","중구","30대","남",70
20170202,"목","중구","30대","여",53
20170202,"목","중구","40대","남",54
20170202,"목","중구","40대","여",92
20170202,"목","중구","50대","남",39
20170202,"목","중구","50대","여",37
20170202,"목","중구","60대이상","남",11
20170202,"목","중구","60대이상","여",19
20170202,"목","중랑구","10대","남",27
20170202,"목","중랑구","10대","여",23
20170202,"목","중랑구","20대","남",44
20170202,"목","중랑구","20대","여",43
20170202,"목","중랑구","30대","남",66
